result = inputNumber=759, squareRes=27.54995462791182, delay=161, status=PASS
result = inputNumber=449, squareRes=21.18962010041709, delay=148, status=PASS
result = inputNumber=990, squareRes=31.464265445104548, delay=157, status=PASS
result = inputNumber=294, squareRes=17.146428199482248, delay=160, status=PASS
result = inputNumber=81, squareRes=9.0, delay=172, status=PASS
result = inputNumber=324, squareRes=18.0, delay=181, status=PASS
result = inputNumber=98, squareRes=9.899494936611665, delay=181, status=PASS
result = inputNumber=251, squareRes=15.84297951775486, delay=178, status=PASS
result = inputNumber=514, squareRes=22.67156809750927, delay=198, status=PASS
result = inputNumber=357, squareRes=18.894443627691185, delay=198, status=PASS
result = inputNumber=864, squareRes=29.393876913398138, delay=219, status=FAIL
result = inputNumber=254, squareRes=15.937377450509228, delay=180, status=PASS
result = inputNumber=92, squareRes=9.591663046625438, delay=227, status=FAIL
result = inputNumber=540, squareRes=23.2379000772445, delay=231, status=FAIL
result = inputNumber=868, squareRes=29.46183972531247, delay=232, status=FAIL
result = inputNumber=384, squareRes=19.595917942265423, delay=240, status=FAIL
result = inputNumber=421, squareRes=20.518284528683193, delay=242, status=FAIL
result = inputNumber=701, squareRes=26.476404589747453, delay=238, status=FAIL
result = inputNumber=583, squareRes=24.145392935299274, delay=204, status=FAIL
result = inputNumber=599, squareRes=24.474476501040833, delay=263, status=FAIL
result = inputNumber=32, squareRes=5.656854249492381, delay=220, status=FAIL
result = inputNumber=248, squareRes=15.748015748023622, delay=220, status=FAIL
result = inputNumber=762, squareRes=27.60434748368452, delay=232, status=FAIL
result = inputNumber=110, squareRes=10.488088481701515, delay=267, status=FAIL
result = inputNumber=676, squareRes=26.0, delay=281, status=FAIL
result = inputNumber=583, squareRes=24.145392935299274, delay=288, status=FAIL
result = inputNumber=911, squareRes=30.18277654557314, delay=297, status=FAIL
result = inputNumber=222, squareRes=14.89966442575134, delay=261, status=FAIL
result = inputNumber=848, squareRes=29.120439557122072, delay=235, status=FAIL
result = inputNumber=840, squareRes=28.982753492378876, delay=257, status=FAIL
result = inputNumber=96, squareRes=9.797958971132712, delay=304, status=FAIL
result = inputNumber=943, squareRes=30.708305065568176, delay=309, status=FAIL
result = inputNumber=107, squareRes=10.344080432788601, delay=270, status=FAIL
result = inputNumber=655, squareRes=25.592967784139454, delay=312, status=FAIL
result = inputNumber=433, squareRes=20.808652046684813, delay=307, status=FAIL
result = inputNumber=201, squareRes=14.177446878757825, delay=322, status=FAIL
result = inputNumber=703, squareRes=26.514147167125703, delay=274, status=FAIL
result = inputNumber=749, squareRes=27.367864366808018, delay=166, status=PASS
result = inputNumber=54, squareRes=7.3484692283495345, delay=284, status=FAIL
result = inputNumber=853, squareRes=29.206163733020468, delay=176, status=PASS
result = inputNumber=130, squareRes=11.40175425099138, delay=176, status=PASS
result = inputNumber=418, squareRes=20.445048300260872, delay=177, status=PASS
result = inputNumber=498, squareRes=22.315913604421397, delay=290, status=FAIL
result = inputNumber=761, squareRes=27.586228448267445, delay=313, status=FAIL
result = inputNumber=85, squareRes=9.219544457292887, delay=211, status=FAIL
result = inputNumber=703, squareRes=26.514147167125703, delay=173, status=PASS
result = inputNumber=363, squareRes=19.05255888325765, delay=169, status=PASS
result = inputNumber=746, squareRes=27.313000567495326, delay=170, status=PASS
result = inputNumber=709, squareRes=26.627053911388696, delay=160, status=PASS
result = inputNumber=90, squareRes=9.486832980505138, delay=147, status=PASS
result = inputNumber=989, squareRes=31.448370387032774, delay=223, status=FAIL
result = inputNumber=805, squareRes=28.372521918222215, delay=228, status=FAIL
result = inputNumber=204, squareRes=14.2828568570857, delay=208, status=FAIL
result = inputNumber=829, squareRes=28.792360097775937, delay=224, status=FAIL
result = inputNumber=679, squareRes=26.057628441590765, delay=211, status=FAIL
result = inputNumber=505, squareRes=22.47220505424423, delay=178, status=PASS
result = inputNumber=659, squareRes=25.67099530598687, delay=194, status=PASS
result = inputNumber=503, squareRes=22.427661492005804, delay=167, status=PASS
result = inputNumber=718, squareRes=26.795522013948524, delay=183, status=PASS
result = inputNumber=542, squareRes=23.280893453645632, delay=178, status=PASS
result = inputNumber=712, squareRes=26.68332812825267, delay=178, status=PASS
result = inputNumber=11, squareRes=3.3166247903554, delay=165, status=PASS
result = inputNumber=277, squareRes=16.64331697709324, delay=176, status=PASS
result = inputNumber=133, squareRes=11.532562594670797, delay=197, status=PASS
result = inputNumber=918, squareRes=30.298514815086232, delay=188, status=PASS
result = inputNumber=865, squareRes=29.410882339705484, delay=212, status=FAIL
result = inputNumber=466, squareRes=21.587033144922902, delay=218, status=FAIL
result = inputNumber=938, squareRes=30.62678566222711, delay=184, status=PASS
result = inputNumber=975, squareRes=31.22498999199199, delay=175, status=PASS
result = inputNumber=189, squareRes=13.74772708486752, delay=218, status=FAIL
result = inputNumber=889, squareRes=29.816103031751148, delay=226, status=FAIL
result = inputNumber=847, squareRes=29.103264421710495, delay=173, status=PASS
result = inputNumber=705, squareRes=26.551836094703507, delay=219, status=FAIL
result = inputNumber=872, squareRes=29.5296461204668, delay=227, status=FAIL
result = inputNumber=365, squareRes=19.1049731745428, delay=233, status=FAIL
result = inputNumber=928, squareRes=30.463092423455635, delay=200, status=PASS
result = inputNumber=701, squareRes=26.476404589747453, delay=215, status=FAIL
result = inputNumber=94, squareRes=9.695359714832659, delay=199, status=PASS
result = inputNumber=11, squareRes=3.3166247903554, delay=207, status=FAIL
result = inputNumber=895, squareRes=29.916550603303182, delay=220, status=FAIL
result = inputNumber=856, squareRes=29.257477676655586, delay=179, status=PASS
result = inputNumber=95, squareRes=9.746794344808963, delay=325, status=FAIL
result = inputNumber=238, squareRes=15.427248620541512, delay=176, status=PASS
result = inputNumber=866, squareRes=29.427877939124322, delay=205, status=FAIL
result = inputNumber=501, squareRes=22.38302928559939, delay=243, status=FAIL
result = inputNumber=622, squareRes=24.939927826679853, delay=247, status=FAIL
result = inputNumber=463, squareRes=21.517434791350013, delay=253, status=FAIL
result = inputNumber=513, squareRes=22.64950330581225, delay=243, status=FAIL
result = inputNumber=836, squareRes=28.91366458960192, delay=347, status=FAIL
result = inputNumber=862, squareRes=29.359836511806396, delay=259, status=FAIL
result = inputNumber=330, squareRes=18.16590212458495, delay=231, status=FAIL
result = inputNumber=536, squareRes=23.15167380558045, delay=273, status=FAIL
result = inputNumber=838, squareRes=28.948229652260256, delay=269, status=FAIL
result = inputNumber=166, squareRes=12.884098726725126, delay=232, status=FAIL
result = inputNumber=467, squareRes=21.61018278497431, delay=362, status=FAIL
result = inputNumber=471, squareRes=21.702534414210707, delay=266, status=FAIL
result = inputNumber=259, squareRes=16.09347693943108, delay=273, status=FAIL
result = inputNumber=162, squareRes=12.727922061357855, delay=170, status=PASS
result = inputNumber=769, squareRes=27.730849247724095, delay=246, status=FAIL
result = inputNumber=989, squareRes=31.448370387032774, delay=259, status=FAIL
result = inputNumber=566, squareRes=23.790754506740637, delay=187, status=PASS
result = inputNumber=779, squareRes=27.910571473905726, delay=191, status=PASS
result = inputNumber=421, squareRes=20.518284528683193, delay=374, status=FAIL
result = inputNumber=816, squareRes=28.5657137141714, delay=294, status=FAIL
result = inputNumber=6, squareRes=2.449489742783178, delay=164, status=PASS
result = inputNumber=65, squareRes=8.06225774829855, delay=305, status=FAIL
result = inputNumber=497, squareRes=22.293496809607955, delay=176, status=PASS
result = inputNumber=417, squareRes=20.42057785666214, delay=173, status=PASS
result = inputNumber=324, squareRes=18.0, delay=193, status=PASS
result = inputNumber=181, squareRes=13.45362404707371, delay=330, status=FAIL
result = inputNumber=520, squareRes=22.80350850198276, delay=190, status=PASS
result = inputNumber=540, squareRes=23.2379000772445, delay=261, status=FAIL
result = inputNumber=296, squareRes=17.204650534085253, delay=199, status=PASS
result = inputNumber=797, squareRes=28.231188426986208, delay=189, status=PASS
result = inputNumber=814, squareRes=28.53068523537421, delay=170, status=PASS
result = inputNumber=448, squareRes=21.166010488516726, delay=193, status=PASS
result = inputNumber=729, squareRes=27.0, delay=292, status=FAIL
result = inputNumber=250, squareRes=15.811388300841896, delay=205, status=FAIL
result = inputNumber=882, squareRes=29.698484809834994, delay=181, status=PASS
result = inputNumber=855, squareRes=29.24038303442689, delay=203, status=FAIL
result = inputNumber=688, squareRes=26.229754097208, delay=225, status=FAIL
result = inputNumber=87, squareRes=9.327379053088816, delay=151, status=PASS
result = inputNumber=400, squareRes=20.0, delay=170, status=PASS
result = inputNumber=401, squareRes=20.024984394500787, delay=160, status=PASS
result = inputNumber=655, squareRes=25.592967784139454, delay=153, status=PASS
result = inputNumber=386, squareRes=19.6468827043885, delay=172, status=PASS
result = inputNumber=782, squareRes=27.964262908219126, delay=174, status=PASS
result = inputNumber=299, squareRes=17.291616465790582, delay=176, status=PASS
result = inputNumber=593, squareRes=24.351591323771842, delay=159, status=PASS
result = inputNumber=419, squareRes=20.46948949045872, delay=183, status=PASS
result = inputNumber=478, squareRes=21.863211109075447, delay=191, status=PASS
result = inputNumber=677, squareRes=26.019223662515376, delay=169, status=PASS
result = inputNumber=740, squareRes=27.202941017470888, delay=171, status=PASS
result = inputNumber=727, squareRes=26.962937525425527, delay=150, status=PASS
result = inputNumber=4, squareRes=2.0, delay=173, status=PASS
result = inputNumber=496, squareRes=22.271057451320086, delay=167, status=PASS
result = inputNumber=686, squareRes=26.19160170741759, delay=185, status=PASS
result = inputNumber=60, squareRes=7.745966692414834, delay=176, status=PASS
result = inputNumber=903, squareRes=30.04995840263344, delay=191, status=PASS
result = inputNumber=687, squareRes=26.210684844162312, delay=195, status=PASS
result = inputNumber=263, squareRes=16.217274740226856, delay=170, status=PASS
result = inputNumber=117, squareRes=10.816653826391969, delay=157, status=PASS
result = inputNumber=335, squareRes=18.303005217723125, delay=176, status=PASS
result = inputNumber=883, squareRes=29.715315916207253, delay=211, status=FAIL
result = inputNumber=596, squareRes=24.413111231467404, delay=206, status=FAIL
result = inputNumber=398, squareRes=19.949937343260004, delay=178, status=PASS
result = inputNumber=798, squareRes=28.24889378365107, delay=183, status=PASS
result = inputNumber=509, squareRes=22.561028345356956, delay=220, status=FAIL
result = inputNumber=599, squareRes=24.474476501040833, delay=234, status=FAIL
result = inputNumber=882, squareRes=29.698484809834994, delay=230, status=FAIL
result = inputNumber=822, squareRes=28.6705423736629, delay=227, status=FAIL
result = inputNumber=339, squareRes=18.411952639521967, delay=190, status=PASS
result = inputNumber=522, squareRes=22.847319317591726, delay=198, status=PASS
