inputNumber=86, squareRes=9.273618495495704, delay=2306, status=FAIL
inputNumber=388, squareRes=19.697715603592208, delay=174, status=PASS
inputNumber=3, squareRes=1.7320508075688772, delay=172, status=PASS
inputNumber=259, squareRes=16.09347693943108, delay=167, status=PASS
inputNumber=812, squareRes=28.495613697550013, delay=157, status=PASS
inputNumber=484, squareRes=22.0, delay=140, status=PASS
inputNumber=66, squareRes=8.12403840463596, delay=157, status=PASS
inputNumber=82, squareRes=9.055385138137417, delay=152, status=PASS
inputNumber=322, squareRes=17.944358444926362, delay=167, status=PASS
inputNumber=541, squareRes=23.259406699226016, delay=179, status=PASS
inputNumber=469, squareRes=21.656407827707714, delay=146, status=PASS
inputNumber=283, squareRes=16.822603841260722, delay=152, status=PASS
inputNumber=305, squareRes=17.46424919657298, delay=149, status=PASS
inputNumber=353, squareRes=18.788294228055936, delay=158, status=PASS
inputNumber=869, squareRes=29.478805945967352, delay=130, status=PASS
inputNumber=31, squareRes=5.5677643628300215, delay=158, status=PASS
inputNumber=989, squareRes=31.448370387032774, delay=153, status=PASS
inputNumber=374, squareRes=19.339079605813716, delay=156, status=PASS
inputNumber=113, squareRes=10.63014581273465, delay=153, status=PASS
inputNumber=30, squareRes=5.477225575051661, delay=151, status=PASS
inputNumber=540, squareRes=23.2379000772445, delay=164, status=PASS
inputNumber=479, squareRes=21.88606862823929, delay=137, status=PASS
inputNumber=50, squareRes=7.0710678118654755, delay=160, status=PASS
inputNumber=243, squareRes=15.588457268119896, delay=146, status=PASS
inputNumber=737, squareRes=27.147743920996454, delay=161, status=PASS
inputNumber=812, squareRes=28.495613697550013, delay=176, status=PASS
inputNumber=427, squareRes=20.663978319771825, delay=158, status=PASS
inputNumber=57, squareRes=7.54983443527075, delay=149, status=PASS
inputNumber=857, squareRes=29.274562336608895, delay=147, status=PASS
inputNumber=561, squareRes=23.68543856465402, delay=138, status=PASS
inputNumber=11, squareRes=3.3166247903554, delay=156, status=PASS
inputNumber=786, squareRes=28.035691537752374, delay=135, status=PASS
inputNumber=725, squareRes=26.92582403567252, delay=144, status=PASS
inputNumber=111, squareRes=10.535653752852738, delay=170, status=PASS
inputNumber=472, squareRes=21.72556098240043, delay=172, status=PASS
inputNumber=423, squareRes=20.566963801203133, delay=151, status=PASS
inputNumber=599, squareRes=24.474476501040833, delay=164, status=PASS
inputNumber=386, squareRes=19.6468827043885, delay=175, status=PASS
inputNumber=225, squareRes=15.0, delay=155, status=PASS
inputNumber=829, squareRes=28.792360097775937, delay=158, status=PASS
inputNumber=867, squareRes=29.444863728670914, delay=166, status=PASS
inputNumber=42, squareRes=6.48074069840786, delay=143, status=PASS
inputNumber=838, squareRes=28.948229652260256, delay=169, status=PASS
inputNumber=400, squareRes=20.0, delay=173, status=PASS
inputNumber=663, squareRes=25.748786379167466, delay=166, status=PASS
inputNumber=307, squareRes=17.52141546793523, delay=158, status=PASS
inputNumber=783, squareRes=27.982137159266443, delay=142, status=PASS
inputNumber=970, squareRes=31.144823004794873, delay=169, status=PASS
inputNumber=231, squareRes=15.198684153570664, delay=164, status=PASS
inputNumber=809, squareRes=28.442925306655784, delay=152, status=PASS
inputNumber=803, squareRes=28.337254630609507, delay=166, status=PASS
inputNumber=457, squareRes=21.37755832643195, delay=168, status=PASS
inputNumber=603, squareRes=24.55605831561735, delay=178, status=PASS
inputNumber=574, squareRes=23.958297101421877, delay=155, status=PASS
inputNumber=490, squareRes=22.135943621178654, delay=152, status=PASS
inputNumber=460, squareRes=21.447610589527216, delay=170, status=PASS
inputNumber=264, squareRes=16.24807680927192, delay=150, status=PASS
inputNumber=50, squareRes=7.0710678118654755, delay=150, status=PASS
inputNumber=473, squareRes=21.748563170931547, delay=152, status=PASS
inputNumber=700, squareRes=26.457513110645905, delay=139, status=PASS
inputNumber=630, squareRes=25.099800796022265, delay=170, status=PASS
inputNumber=11, squareRes=3.3166247903554, delay=155, status=PASS
inputNumber=978, squareRes=31.272991542223778, delay=154, status=PASS
inputNumber=955, squareRes=30.903074280724887, delay=159, status=PASS
inputNumber=782, squareRes=27.964262908219126, delay=161, status=PASS
inputNumber=220, squareRes=14.832396974191326, delay=170, status=PASS
inputNumber=425, squareRes=20.615528128088304, delay=159, status=PASS
inputNumber=359, squareRes=18.947295321496416, delay=166, status=PASS
inputNumber=251, squareRes=15.84297951775486, delay=179, status=PASS
inputNumber=777, squareRes=27.874719729532707, delay=159, status=PASS
inputNumber=227, squareRes=15.066519173319364, delay=161, status=PASS
inputNumber=269, squareRes=16.401219466856727, delay=153, status=PASS
inputNumber=167, squareRes=12.922847983320086, delay=169, status=PASS
inputNumber=250, squareRes=15.811388300841896, delay=173, status=PASS
inputNumber=269, squareRes=16.401219466856727, delay=154, status=PASS
inputNumber=998, squareRes=31.591137997862628, delay=157, status=PASS
inputNumber=987, squareRes=31.416556144810016, delay=153, status=PASS
inputNumber=348, squareRes=18.65475810617763, delay=172, status=PASS
inputNumber=757, squareRes=27.51363298439521, delay=159, status=PASS
inputNumber=791, squareRes=28.124722220850465, delay=156, status=PASS
inputNumber=868, squareRes=29.46183972531247, delay=168, status=PASS
inputNumber=497, squareRes=22.293496809607955, delay=141, status=PASS
inputNumber=955, squareRes=30.903074280724887, delay=151, status=PASS
inputNumber=564, squareRes=23.748684174075834, delay=151, status=PASS
inputNumber=620, squareRes=24.899799195977465, delay=166, status=PASS
inputNumber=523, squareRes=22.869193252058544, delay=158, status=PASS
inputNumber=818, squareRes=28.600699292150182, delay=157, status=PASS
inputNumber=33, squareRes=5.744562646538029, delay=153, status=PASS
inputNumber=377, squareRes=19.4164878389476, delay=187, status=PASS
inputNumber=485, squareRes=22.02271554554524, delay=171, status=PASS
inputNumber=975, squareRes=31.22498999199199, delay=178, status=PASS
inputNumber=959, squareRes=30.967725134404045, delay=152, status=PASS
inputNumber=908, squareRes=30.133038346638727, delay=163, status=PASS
inputNumber=298, squareRes=17.26267650163207, delay=153, status=PASS
inputNumber=346, squareRes=18.601075237738275, delay=156, status=PASS
inputNumber=422, squareRes=20.54263858417414, delay=147, status=PASS
inputNumber=847, squareRes=29.103264421710495, delay=140, status=PASS
inputNumber=498, squareRes=22.315913604421397, delay=154, status=PASS
inputNumber=767, squareRes=27.694764848252458, delay=162, status=PASS
inputNumber=142, squareRes=11.916375287812984, delay=157, status=PASS
inputNumber=48, squareRes=6.928203230275509, delay=160, status=PASS
inputNumber=44, squareRes=6.6332495807108, delay=160, status=PASS
inputNumber=937, squareRes=30.610455730027933, delay=159, status=PASS
inputNumber=957, squareRes=30.93541659651604, delay=154, status=PASS
inputNumber=58, squareRes=7.615773105863909, delay=150, status=PASS
inputNumber=562, squareRes=23.706539182259394, delay=167, status=PASS
inputNumber=375, squareRes=19.364916731037084, delay=148, status=PASS
inputNumber=381, squareRes=19.519221295943137, delay=171, status=PASS
inputNumber=38, squareRes=6.164414002968976, delay=149, status=PASS
inputNumber=422, squareRes=20.54263858417414, delay=162, status=PASS
inputNumber=432, squareRes=20.784609690826528, delay=148, status=PASS
inputNumber=511, squareRes=22.60530911091463, delay=156, status=PASS
inputNumber=70, squareRes=8.366600265340756, delay=162, status=PASS
inputNumber=129, squareRes=11.357816691600547, delay=167, status=PASS
inputNumber=33, squareRes=5.744562646538029, delay=163, status=PASS
inputNumber=134, squareRes=11.575836902790225, delay=162, status=PASS
inputNumber=784, squareRes=28.0, delay=152, status=PASS
inputNumber=327, squareRes=18.083141320025124, delay=172, status=PASS
inputNumber=407, squareRes=20.174241001832016, delay=155, status=PASS
inputNumber=524, squareRes=22.891046284519195, delay=171, status=PASS
inputNumber=234, squareRes=15.297058540778355, delay=163, status=PASS
inputNumber=926, squareRes=30.430248109405877, delay=148, status=PASS
inputNumber=556, squareRes=23.57965224510319, delay=149, status=PASS
inputNumber=398, squareRes=19.949937343260004, delay=159, status=PASS
inputNumber=888, squareRes=29.79932885150268, delay=148, status=PASS
inputNumber=599, squareRes=24.474476501040833, delay=167, status=PASS
inputNumber=222, squareRes=14.89966442575134, delay=157, status=PASS
inputNumber=5, squareRes=2.23606797749979, delay=157, status=PASS
inputNumber=333, squareRes=18.24828759089466, delay=189, status=PASS
inputNumber=993, squareRes=31.51190251317746, delay=162, status=PASS
inputNumber=205, squareRes=14.317821063276353, delay=150, status=PASS
inputNumber=881, squareRes=29.68164415931166, delay=150, status=PASS
inputNumber=871, squareRes=29.512709126747414, delay=143, status=PASS
inputNumber=175, squareRes=13.228756555322953, delay=161, status=PASS
inputNumber=970, squareRes=31.144823004794873, delay=168, status=PASS
inputNumber=667, squareRes=25.826343140289914, delay=154, status=PASS
inputNumber=708, squareRes=26.60826939130014, delay=141, status=PASS
inputNumber=697, squareRes=26.40075756488817, delay=151, status=PASS
inputNumber=180, squareRes=13.416407864998739, delay=177, status=PASS
inputNumber=58, squareRes=7.615773105863909, delay=147, status=PASS
inputNumber=135, squareRes=11.61895003862225, delay=163, status=PASS
inputNumber=291, squareRes=17.05872210923198, delay=170, status=PASS
inputNumber=326, squareRes=18.05547008526779, delay=182, status=PASS
inputNumber=72, squareRes=8.48528137423857, delay=161, status=PASS
inputNumber=554, squareRes=23.53720459187964, delay=146, status=PASS
inputNumber=268, squareRes=16.3707055437449, delay=152, status=PASS
inputNumber=915, squareRes=30.24896692450835, delay=140, status=PASS
inputNumber=845, squareRes=29.068883707497267, delay=132, status=PASS
inputNumber=37, squareRes=6.082762530298219, delay=171, status=PASS
inputNumber=810, squareRes=28.460498941515414, delay=162, status=PASS
inputNumber=205, squareRes=14.317821063276353, delay=144, status=PASS
inputNumber=346, squareRes=18.601075237738275, delay=166, status=PASS
inputNumber=289, squareRes=17.0, delay=155, status=PASS
inputNumber=247, squareRes=15.716233645501712, delay=147, status=PASS
inputNumber=507, squareRes=22.516660498395403, delay=140, status=PASS
inputNumber=791, squareRes=28.124722220850465, delay=167, status=PASS
inputNumber=678, squareRes=26.038433132583073, delay=147, status=PASS
inputNumber=302, squareRes=17.378147196982766, delay=157, status=PASS
inputNumber=776, squareRes=27.85677655436824, delay=177, status=PASS
inputNumber=799, squareRes=28.26658805020514, delay=161, status=PASS
inputNumber=263, squareRes=16.217274740226856, delay=168, status=PASS
inputNumber=591, squareRes=24.310491562286437, delay=160, status=PASS
inputNumber=761, squareRes=27.586228448267445, delay=181, status=PASS
inputNumber=34, squareRes=5.830951894845301, delay=151, status=PASS
inputNumber=666, squareRes=25.80697580112788, delay=189, status=PASS
inputNumber=792, squareRes=28.142494558940577, delay=159, status=PASS
inputNumber=740, squareRes=27.202941017470888, delay=164, status=PASS
inputNumber=284, squareRes=16.852299546352718, delay=141, status=PASS
inputNumber=26, squareRes=5.0990195135927845, delay=158, status=PASS
inputNumber=348, squareRes=18.65475810617763, delay=163, status=PASS
inputNumber=173, squareRes=13.152946437965905, delay=169, status=PASS
inputNumber=848, squareRes=29.120439557122072, delay=152, status=PASS
inputNumber=431, squareRes=20.760539492026695, delay=151, status=PASS
inputNumber=785, squareRes=28.0178514522438, delay=134, status=PASS
inputNumber=591, squareRes=24.310491562286437, delay=132, status=PASS
inputNumber=364, squareRes=19.078784028338912, delay=133, status=PASS
inputNumber=165, squareRes=12.84523257866513, delay=147, status=PASS
inputNumber=659, squareRes=25.67099530598687, delay=158, status=PASS
inputNumber=592, squareRes=24.331050121192877, delay=153, status=PASS
inputNumber=111, squareRes=10.535653752852738, delay=172, status=PASS
inputNumber=103, squareRes=10.14889156509222, delay=155, status=PASS
inputNumber=344, squareRes=18.547236990991408, delay=169, status=PASS
inputNumber=776, squareRes=27.85677655436824, delay=172, status=PASS
inputNumber=810, squareRes=28.460498941515414, delay=162, status=PASS
inputNumber=383, squareRes=19.570385790780925, delay=155, status=PASS
inputNumber=717, squareRes=26.77685567799177, delay=155, status=PASS
inputNumber=858, squareRes=29.29163703175362, delay=144, status=PASS
inputNumber=153, squareRes=12.36931687685298, delay=139, status=PASS
inputNumber=980, squareRes=31.304951684997057, delay=166, status=PASS
inputNumber=885, squareRes=29.748949561287034, delay=176, status=PASS
inputNumber=968, squareRes=31.11269837220809, delay=158, status=PASS
inputNumber=328, squareRes=18.110770276274835, delay=164, status=PASS
inputNumber=609, squareRes=24.677925358506133, delay=157, status=PASS
